"year","month","car_price","mileage","accident","damage"
2017,1,32166,48635,1,0
2017,1,41536,33946,1,0
2017,1,36769,54200,1,0
2017,1,36759,33489,1,0
2017,1,29935,62200,1,0
2017,1,33539,36807,1,0
2017,1,40169,36157,1,0
2017,1,46261,40483,1,0
2017,1,40713,34026,1,0
2017,1,35902,32574,1,0
2017,1,35358,51677,1,0
2017,1,31481,56419,1,0
2017,1,42076,39518,1,0
2017,1,33038,55671,1,0
2017,1,33022,26635,1,0
2017,1,37287,44239,1,0
2017,1,35052,44744,1,0
2017,1,40238,43108,1,0
2017,1,35923,47096,1,0
2017,1,35644,48953,1,0
2017,1,36073,33805,1,0
2017,1,30787,74550,1,0
2017,1,33379,60396,1,0
2017,1,32957,42709,1,0
2017,1,27271,69469,1,0
2017,1,35548,32749,1,0
2017,1,31910,58582,1,0
2017,1,36908,42736,1,0
2017,1,36411,53003,1,0
2017,1,42966,39138,1,0
2017,1,39490,47937,1,0
2017,1,39022,50395,1,0
2017,1,46656,41893,1,0
2017,1,36740,46002,1,0
2017,1,36508,31986,1,0
2017,1,37839,40775,1,0
2017,1,29360,52932,1,0
2017,1,31451,42088,1,0
2017,1,32635,46631,1,0
2017,1,36211,56751,1,0
2017,1,32606,58643,0,0
2017,1,36791,54645,0,0
2017,1,41565,32576,0,0
2017,1,36288,49326,0,0
2017,1,38896,63047,0,0
2017,1,43812,40233,0,0
2017,1,38395,55451,0,0
2017,1,41632,41803,0,0
2017,1,43334,46120,0,0
2017,1,36499,65888,0,0
2017,1,41361,42664,0,0
2017,1,41622,43586,0,0
2017,1,44838,55028,0,0
2017,1,43213,34582,0,0
2017,1,36219,50788,0,0
2017,1,37982,53843,0,0
2017,1,39838,60766,0,0
2017,1,37103,46702,0,0
2017,1,35809,54971,0,0
2017,1,44875,54143,0,0
2017,1,43391,53882,0,0
2017,1,34022,46678,0,0
2017,1,45235,54908,0,0
2017,1,33213,42172,0,0
2017,1,37895,53983,0,0
2017,1,43681,52917,0,0
2017,1,36698,46162,0,0
2017,1,35802,31168,0,0
2017,1,45157,58464,0,0
2017,1,40228,68817,0,0
2017,1,35209,48884,0,0
2017,1,38471,51326,0,0
2017,1,38624,49231,0,0
2017,1,31020,64658,0,0
2017,1,41995,57777,0,0
2017,1,45149,49393,0,0
2017,1,38146,49931,0,0
2017,1,33156,52135,0,0
2017,1,35887,37637,0,0
2017,1,43887,44328,0,0
2017,1,45540,32216,0,0
2017,1,41159,42477,0,0
2017,1,39454,49114,0,0
2017,1,33696,64948,0,0
2017,1,32502,77138,0,0
2017,1,31565,58160,0,0
2017,1,41569,49610,0,0
2017,1,32742,62122,0,0
2017,1,41143,19212,0,0
2017,1,50850,43606,0,0
2017,1,39385,45117,0,0
2017,1,36462,46573,0,0
2017,1,41662,59582,0,0
2017,1,44774,44016,0,0
2017,1,40716,52910,0,0
2017,1,39599,62428,0,0
2017,1,37252,64766,0,0
2017,1,32526,59282,0,0
2017,1,44042,39853,0,0
2017,1,37227,59268,0,0
