"year","month","car_price","mileage","accident","damage"
2013,10,32329,59197,1,0
2013,10,29165,58191,1,0
2013,10,35761,53136,1,0
2013,10,34588,57695,1,0
2013,10,35142,49726,1,0
2013,10,32536,65232,1,0
2013,10,31256,54947,1,0
2013,10,35422,47682,1,0
2013,10,36270,62619,1,0
2013,10,30762,50956,1,0
2013,10,35033,56053,1,0
2013,10,28973,37352,1,0
2013,10,42803,55011,1,0
2013,10,30253,59903,1,0
2013,10,26596,49661,1,0
2013,10,32932,65472,1,0
2013,10,38402,41330,1,0
2013,10,33763,55188,1,0
2013,10,38903,55318,1,0
2013,10,37968,58176,1,0
2013,10,31503,68247,1,0
2013,10,38099,50827,1,0
2013,10,41366,56501,1,0
2013,10,30214,52944,1,0
2013,10,42717,30675,1,0
2013,10,33545,45024,1,0
2013,10,39492,40637,1,0
2013,10,36592,43608,1,0
2013,10,37593,41083,1,0
2013,10,36429,48626,1,0
2013,10,35671,50822,1,0
2013,10,39313,40625,1,0
2013,10,37010,53892,1,0
2013,10,33271,61042,1,0
2013,10,39558,41514,1,0
2013,10,37589,52993,1,0
2013,10,32209,54666,1,0
2013,10,46112,39910,1,0
2013,10,31292,44689,1,0
2013,10,34848,47285,1,0
2013,10,38626,48795,0,0
2013,10,31774,55210,0,0
2013,10,47797,47552,0,0
2013,10,38057,50585,0,0
2013,10,38295,44781,0,0
2013,10,31976,53908,0,0
2013,10,47467,38861,0,0
2013,10,33122,67954,0,0
2013,10,47020,30082,0,0
2013,10,40810,45506,0,0
2013,10,48834,35739,0,0
2013,10,30603,58936,0,0
2013,10,38909,46799,0,0
2013,10,38185,39294,0,0
2013,10,46847,38303,0,0
2013,10,43162,50475,0,0
2013,10,39931,33701,0,0
2013,10,48092,44512,0,0
2013,10,41347,54701,0,0
2013,10,30976,74215,0,0
2013,10,38514,45181,0,0
2013,10,42959,47188,0,0
2013,10,38965,72985,0,0
2013,10,32522,57167,0,0
2013,10,33445,66983,0,0
2013,10,37064,38612,0,0
2013,10,35221,49594,0,0
2013,10,43024,53402,0,0
2013,10,39716,48902,0,0
2013,10,44634,40480,0,0
2013,10,34086,47100,0,0
2013,10,39586,24756,0,0
2013,10,47416,46736,0,0
2013,10,37684,62918,0,0
2013,10,43305,54739,0,0
2013,10,37722,51381,0,0
2013,10,42226,43729,0,0
2013,10,41991,38353,0,0
2013,10,40588,57089,0,0
2013,10,41317,71255,0,0
2013,10,38705,45288,0,0
2013,10,45669,43144,0,0
2013,10,43718,50021,0,0
2013,10,39591,46165,0,0
2013,10,34977,55066,0,0
2013,10,46710,44936,0,0
2013,10,32083,66349,0,0
2013,10,39644,42864,0,0
2013,10,32015,60159,0,0
2013,10,40002,54175,0,0
2013,10,38194,45550,0,0
2013,10,38882,56383,0,0
2013,10,35063,52915,0,0
2013,10,44069,64890,0,0
2013,10,37896,53278,0,0
2013,10,35462,58464,0,0
2013,10,41239,48289,0,0
2013,10,42440,42590,0,0
2013,10,36968,60458,0,0
2013,10,31558,47813,0,0
