"year","month","car_price","mileage","accident","damage"
2011,6,42807,65140,1,0
2011,6,31087,73543,1,0
2011,6,33769,71366,1,0
2011,6,36958,42474,1,0
2011,6,35254,37471,1,0
2011,6,33378,43752,1,0
2011,6,36761,62721,1,0
2011,6,39904,40062,1,0
2011,6,38305,42916,1,0
2011,6,40049,42532,1,0
2011,6,31020,47227,1,0
2011,6,29290,56599,1,0
2011,6,38644,34879,1,0
2011,6,37206,49784,1,0
2011,6,43112,32454,1,0
2011,6,38837,60355,1,0
2011,6,34004,58624,1,0
2011,6,30065,52655,1,0
2011,6,30653,47687,1,0
2011,6,29084,60244,1,0
2011,6,39343,56174,1,0
2011,6,38960,38290,1,0
2011,6,35923,75192,1,0
2011,6,33543,43669,1,0
2011,6,36838,39765,1,0
2011,6,36676,54357,1,0
2011,6,35893,52673,1,0
2011,6,29994,51515,1,0
2011,6,31914,35709,1,0
2011,6,25034,50922,1,0
2011,6,36826,53873,1,0
2011,6,32902,72437,1,0
2011,6,36539,42185,1,0
2011,6,41660,57400,1,0
2011,6,37822,41416,1,0
2011,6,32410,53020,1,0
2011,6,41603,40389,1,0
2011,6,43012,30024,1,0
2011,6,36787,26931,1,0
2011,6,33540,58672,1,0
2011,6,43397,50761,0,0
2011,6,43034,53852,0,0
2011,6,43589,29398,0,0
2011,6,35148,48546,0,0
2011,6,46449,50980,0,0
2011,6,37244,66512,0,0
2011,6,39538,43025,0,0
2011,6,37174,58004,0,0
2011,6,38314,49714,0,0
2011,6,31309,59299,0,0
2011,6,38984,51655,0,0
2011,6,43643,51559,0,0
2011,6,49473,48349,0,0
2011,6,37680,50880,0,0
2011,6,39072,50859,0,0
2011,6,42972,48284,0,0
2011,6,39626,48529,0,0
2011,6,36153,58501,0,0
2011,6,39038,48140,0,0
2011,6,42562,41646,0,0
2011,6,31222,49055,0,0
2011,6,39965,37319,0,0
2011,6,37081,67187,0,0
2011,6,37009,74968,0,0
2011,6,36128,49748,0,0
2011,6,37592,50070,0,0
2011,6,35215,40183,0,0
2011,6,41237,53072,0,0
2011,6,40573,59796,0,0
2011,6,38142,57807,0,0
2011,6,40127,49923,0,0
2011,6,27434,62586,0,0
2011,6,42120,67668,0,0
2011,6,39410,46885,0,0
2011,6,36749,54270,0,0
2011,6,37769,61546,0,0
2011,6,42985,47128,0,0
2011,6,46029,51328,0,0
2011,6,43767,38938,0,0
2011,6,37261,41198,0,0
2011,6,44460,26114,0,0
2011,6,41810,43100,0,0
2011,6,41713,44721,0,0
2011,6,41805,60663,0,0
2011,6,41840,39054,0,0
2011,6,37043,49149,0,0
2011,6,46402,45840,0,0
2011,6,51748,46165,0,0
2011,6,38522,51385,0,0
2011,6,40755,65025,0,0
2011,6,46642,38441,0,0
2011,6,42327,56766,0,0
2011,6,39762,43063,0,0
2011,6,44917,38705,0,0
2011,6,43214,58473,0,0
2011,6,54524,37157,0,0
2011,6,43501,40488,0,0
2011,6,38263,60115,0,0
2011,6,36419,48930,0,0
2011,6,36892,65807,0,0
