"year","month","car_price","mileage","accident","damage"
2010,7,30016,57507,1,0
2010,7,40034,41712,1,0
2010,7,26923,57095,1,0
2010,7,32300,59499,1,0
2010,7,34564,44211,1,0
2010,7,42768,37654,1,0
2010,7,38792,47812,1,0
2010,7,32507,50409,1,0
2010,7,39994,43582,1,0
2010,7,32688,40385,1,0
2010,7,28207,56748,1,0
2010,7,40632,40839,1,0
2010,7,34908,52853,1,0
2010,7,27041,53577,1,0
2010,7,34730,61141,1,0
2010,7,33104,49887,1,0
2010,7,37500,29792,1,0
2010,7,38740,56179,1,0
2010,7,33444,48872,1,0
2010,7,30685,65951,1,0
2010,7,31464,55439,1,0
2010,7,39636,33431,1,0
2010,7,36765,51021,1,0
2010,7,39934,39458,1,0
2010,7,39077,29460,1,0
2010,7,31481,58274,1,0
2010,7,29191,30585,1,0
2010,7,35832,66290,1,0
2010,7,39731,46381,1,0
2010,7,38760,43729,1,0
2010,7,35027,40868,1,0
2010,7,41857,33345,1,0
2010,7,38623,54168,1,0
2010,7,39344,32886,1,0
2010,7,34181,53202,1,0
2010,7,29403,39616,1,0
2010,7,40036,55224,1,0
2010,7,34527,57451,1,0
2010,7,36114,52335,1,0
2010,7,43125,29462,1,0
2010,7,42520,35116,0,0
2010,7,32124,71253,0,0
2010,7,35729,66262,0,0
2010,7,35953,49808,0,0
2010,7,40733,59387,0,0
2010,7,41441,38020,0,0
2010,7,38205,56472,0,0
2010,7,40295,42044,0,0
2010,7,46165,41284,0,0
2010,7,34885,50667,0,0
2010,7,38007,56480,0,0
2010,7,35028,44309,0,0
2010,7,41086,44024,0,0
2010,7,37907,60268,0,0
2010,7,38104,66802,0,0
2010,7,39959,50567,0,0
2010,7,45181,37202,0,0
2010,7,40205,48742,0,0
2010,7,39177,56132,0,0
2010,7,47987,37587,0,0
2010,7,44777,42943,0,0
2010,7,43497,61966,0,0
2010,7,38936,69692,0,0
2010,7,40599,36964,0,0
2010,7,41288,45220,0,0
2010,7,32980,51410,0,0
2010,7,40140,53474,0,0
2010,7,39588,49502,0,0
2010,7,45492,42882,0,0
2010,7,40374,58872,0,0
2010,7,43254,56111,0,0
2010,7,49230,50260,0,0
2010,7,36234,51980,0,0
2010,7,41184,42001,0,0
2010,7,39811,49791,0,0
2010,7,36562,55531,0,0
2010,7,49442,37753,0,0
2010,7,36005,51170,0,0
2010,7,41459,38691,0,0
2010,7,39002,61903,0,0
2010,7,42009,43477,0,0
2010,7,41244,41881,0,0
2010,7,40731,41523,0,0
2010,7,39060,55114,0,0
2010,7,38379,46963,0,0
2010,7,39205,44207,0,0
2010,7,46508,35464,0,0
2010,7,43149,63996,0,0
2010,7,34841,56448,0,0
2010,7,39024,53437,0,0
2010,7,43744,45672,0,0
2010,7,45331,29629,0,0
2010,7,47055,44836,0,0
2010,7,37097,52932,0,0
2010,7,39827,42154,0,0
2010,7,44281,38539,0,0
2010,7,35977,62750,0,0
2010,7,51284,33644,0,0
2010,7,39977,39975,0,0
2010,7,43452,39870,0,0
