"year","month","car_price","mileage","accident","damage"
2012,7,37014,43172,1,0
2012,7,22884,47167,1,0
2012,7,37704,43952,1,0
2012,7,32656,45632,1,0
2012,7,41397,36477,1,0
2012,7,27996,48760,1,0
2012,7,40760,50896,1,0
2012,7,37122,49587,1,0
2012,7,28232,59907,1,0
2012,7,34405,52208,1,0
2012,7,40001,57536,1,0
2012,7,40860,42835,1,0
2012,7,40976,46076,1,0
2012,7,33962,44583,1,0
2012,7,38443,44512,1,0
2012,7,28816,51555,1,0
2012,7,35345,31029,1,0
2012,7,30414,46722,1,0
2012,7,30407,49787,1,0
2012,7,29425,63880,1,0
2012,7,33344,58473,1,0
2012,7,26374,52561,1,0
2012,7,34473,51243,1,0
2012,7,39384,45629,1,0
2012,7,33180,39741,1,0
2012,7,42395,35300,1,0
2012,7,36993,35141,1,0
2012,7,41972,47817,1,0
2012,7,29273,62836,1,0
2012,7,33184,29837,1,0
2012,7,30718,62712,1,0
2012,7,25918,56170,1,0
2012,7,32403,62829,1,0
2012,7,28551,45047,1,0
2012,7,26348,57735,1,0
2012,7,35973,66254,1,0
2012,7,35825,44694,1,0
2012,7,38634,39563,1,0
2012,7,37375,56145,1,0
2012,7,44998,28527,1,0
2012,7,42898,23598,0,0
2012,7,39865,30157,0,0
2012,7,42455,62216,0,0
2012,7,43140,42586,0,0
2012,7,41256,36976,0,0
2012,7,41162,53543,0,0
2012,7,31845,60712,0,0
2012,7,39647,53385,0,0
2012,7,37425,69605,0,0
2012,7,38486,49156,0,0
2012,7,40633,32294,0,0
2012,7,43255,47446,0,0
2012,7,43659,51428,0,0
2012,7,38955,63718,0,0
2012,7,31863,61948,0,0
2012,7,41411,26668,0,0
2012,7,40488,54555,0,0
2012,7,46897,35273,0,0
2012,7,36118,56234,0,0
2012,7,43424,32521,0,0
2012,7,35710,64572,0,0
2012,7,35027,58259,0,0
2012,7,45331,44848,0,0
2012,7,52632,36471,0,0
2012,7,37864,67453,0,0
2012,7,35903,43369,0,0
2012,7,33820,52442,0,0
2012,7,35766,52547,0,0
2012,7,31378,79635,0,0
2012,7,40181,54283,0,0
2012,7,38193,35341,0,0
2012,7,40808,49264,0,0
2012,7,35532,54208,0,0
2012,7,40927,45017,0,0
2012,7,47370,51857,0,0
2012,7,35191,75157,0,0
2012,7,37128,62123,0,0
2012,7,37257,56430,0,0
2012,7,36251,47483,0,0
2012,7,35159,39797,0,0
2012,7,43511,44403,0,0
2012,7,43927,47715,0,0
2012,7,35885,64228,0,0
2012,7,37429,38772,0,0
2012,7,36330,56986,0,0
2012,7,39643,32161,0,0
2012,7,41449,40773,0,0
2012,7,41729,39315,0,0
2012,7,39081,55657,0,0
2012,7,36720,49307,0,0
2012,7,36194,49856,0,0
2012,7,34511,63750,0,0
2012,7,36195,23395,0,0
2012,7,45261,42343,0,0
2012,7,34430,58314,0,0
2012,7,37692,44056,0,0
2012,7,34785,59200,0,0
2012,7,34875,55453,0,0
2012,7,38499,64459,0,0
2012,7,46162,45706,0,0
