"year","month","car_price","mileage","accident","damage"
2010,12,14562,53013,1,1
2010,12,24443,29126,1,1
2010,12,4921,64204,1,1
2010,12,15906,39310,1,1
2010,12,17097,45406,1,1
2010,12,12928,63317,1,1
2010,12,14644,54098,1,1
2010,12,12762,54723,1,1
2010,12,11938,42503,1,1
2010,12,29649,33983,1,1
2010,12,10777,42086,1,1
2010,12,17931,55020,1,1
2010,12,9134,57172,1,1
2010,12,6918,50434,1,1
2010,12,16391,46059,1,1
2010,12,22676,53800,1,1
2010,12,18762,43776,1,1
2010,12,7427,55114,1,1
2010,12,14569,38986,1,1
2010,12,8276,68614,1,1
2010,12,15829,22950,1,1
2010,12,16275,64179,1,1
2010,12,26223,43447,1,1
2010,12,6682,62523,1,1
2010,12,21210,35397,1,1
2010,12,11396,46693,1,1
2010,12,18956,52108,1,1
2010,12,17901,39905,1,1
2010,12,14937,44652,1,1
2010,12,16850,54951,1,1
2010,12,22745,55485,1,1
2010,12,23104,37723,1,1
2010,12,16227,39934,1,1
2010,12,17607,52072,1,1
2010,12,7789,64174,1,1
2010,12,15227,57471,1,1
2010,12,21881,34806,1,1
2010,12,18276,42799,1,1
2010,12,16291,31618,1,1
2010,12,13251,57844,1,1
2010,12,14416,41289,1,1
2010,12,16793,49891,1,1
2010,12,12541,56091,1,1
2010,12,14375,48669,1,1
2010,12,14169,41505,1,1
2010,12,19038,51151,1,1
2010,12,19012,36687,1,1
2010,12,6437,73745,1,1
2010,12,20996,25042,1,1
2010,12,8400,72037,1,1
2010,12,14270,55714,1,1
2010,12,23632,44163,1,1
2010,12,10286,52749,1,1
2010,12,15977,49517,1,1
2010,12,4800,72525,1,1
2010,12,13048,72080,1,1
2010,12,7700,57668,1,1
2010,12,8761,47158,1,1
2010,12,16926,51516,1,1
2010,12,13560,42189,1,1
2010,12,9031,40426,1,1
2010,12,10311,46957,1,1
2010,12,16240,65309,1,1
2010,12,16660,45217,1,1
2010,12,15280,52760,1,1
2010,12,15987,62928,1,1
2010,12,14946,54240,1,1
2010,12,1219,55278,1,1
2010,12,16386,43462,1,1
2010,12,9180,51217,1,1
2010,12,13241,40131,1,1
2010,12,9995,42444,1,1
2010,12,18798,38390,1,1
2010,12,25028,45572,1,1
2010,12,16276,53349,1,1
2010,12,22930,48993,1,1
2010,12,16023,40245,1,1
2010,12,14797,40268,1,1
2010,12,20826,36592,1,1
2010,12,9162,54141,1,1
2010,12,9155,52742,1,1
2010,12,5955,35860,1,1
2010,12,9461,33181,1,1
2010,12,13374,49299,1,1
2010,12,16419,45397,1,1
2010,12,16014,37929,1,1
2010,12,5305,60404,1,1
2010,12,10516,49338,1,1
2010,12,11883,49801,1,1
2010,12,17366,56156,1,1
2010,12,15423,54204,1,1
2010,12,12348,46720,1,1
2010,12,10811,38655,1,1
2010,12,11970,61823,1,1
2010,12,11316,32892,1,1
2010,12,9574,63794,1,1
2010,12,14850,44590,1,1
2010,12,15739,70755,1,1
2010,12,18993,47952,1,1
2010,12,16918,44486,1,1
